,position,user,comment,bid,rep,seller
33,34,amg_613_fan,Why tear apart such a low milage stock engine with no issues? You guys know the headbolt failures are extremely rare right? Or did you just watch one Youtube video?,,Reputation Icon15,0
34,35,pronet,"The community has flagged this.
View",,,0
35,36,Mazda_MP5,"There is both a window sticker and a build sheet in the pic gallery, neither of which show the AMG Perfomance Pkg. ( the referenced P30). Still an excellent German bruiser of a sedan.",,Reputation Icon4.3k,0
36,37,sje63,"Re: pronet
How would I check if it’s a P30 and engine serial? Will gladly share if I know how to find it. Regarding head bolts, this cars most recent service was done by MB and there were no recommendations to change them.",,Reputation Icon8,1
37,38,pronet,"Is this a P30, and how does the head bolts looking, would they need a placement anytime soon ,also do you mind providing the serial number of the engin#",,,0
38,39,suckii,Sweet ride.. good luck,,Reputation Icon8,0
39,40,sausageroll,,"$18,000",Reputation Icon31,0
40,41,sje63,"Re: MichaelNeff
thanks. the car has ""split/folding rear seats"".",,Reputation Icon8,1
41,42,MichaelNeff,Beautiful car! Do the rear seats fold down? I don’t see it listed as an option.,,,0
42,43,Shmeedr,,"$17,000",Reputation Icon2,0
43,44,sje63,"Re: GeneAllen
thank you.",,Reputation Icon8,1
44,45,GeneAllen,~ Beautiful Midsize German Saloon!,,Reputation Icon178,0
45,46,gladiator,"Re: sje63
That’s also the concern. Car been sitting for more than it’s driven. And this is bad for the head bolts. (More chance for it to corrode and break off)",,,0
46,47,sausageroll,I think I’ve seen this car around. There aren’t lots of e63s in Hoboken. Lovely.,,Reputation Icon31,0
47,48,sje63,"Re: Quicksand_Fishers
Exactly - I've just kept with the basic rules. No food in the car, always garaged, never valet parked, never driven in snow, away from potholes, rain only by accident. =)",,Reputation Icon8,1
48,49,Quicksand_Fishers,Looks like good ownership overall. I like seeing when people both use and preserve at same time. Not babying it (trailer queens) but also leaving it in good condition for next owners.,,Reputation Icon12.9k,0
49,50,sje63,"Re: esahmed75
no they have not. The car has been serviced and maintained by Mercedes Benz and this issue has not been raised to me for this vehicle.",,Reputation Icon8,1
50,51,esahmed75,"Have the head bolts been replaced in this car?
https://www.youtube.com/watch?v=Rlj7254gOww",,Reputation Icon47,0
51,52,Dhenry555,"Re: Calli74
My Class is different.",,Reputation Icon95,0
52,53,sje63,"Re: Calli74
Thanks, incredibly sad to see her go.",,Reputation Icon8,1
53,54,Calli74,"@Dhenry555 - grey leather in a silver car? Yuck! :) Black is what this needs to be!
@sje63 - beautiful car!! GLWTA!",,Reputation Icon148,0
54,55,sje63,"Re: gladiator
Also incredibly low miles because this vehicle is not my daily commuter!",,Reputation Icon8,1
55,56,sje63,"Re: gladiator
No they have not. The car has been serviced and maintained by Mercedes Benz and I’ve followed their instructions on what needs replacement.",,Reputation Icon8,1
56,57,gladiator,Incredibly low miles. Has the head bolts been updated?,,,0
57,58,Dhenry555,,"$16,750",Reputation Icon95,0
58,59,Dhenry555,Dear chill,,Reputation Icon95,0
59,60,Dearborn,,"$16,500",Reputation Icon11,0
60,61,Dhenry555,,"$10,000",Reputation Icon95,0
61,62,Dhenry555,Man I wish it had the grey leather! But I’m still interested!!!,,Reputation Icon95,0
