,id,num_bidders
129,102_38,11
130,102_39,16
131,102_4,13
132,102_40,10
133,102_41,14
134,102_42,13
135,102_43,8
136,102_44,25
137,102_45,10
138,102_46,11
139,102_47,9
140,102_48,11
141,102_49,16
142,102_5,7
143,102_50,7
144,102_6,14
145,102_7,8
146,102_8,18
147,102_9,5
148,103_1,7
149,103_10,26
150,103_11,16
151,103_12,16
152,103_13,13
153,103_14,7
154,103_15,14
155,103_16,12
156,103_17,9
157,103_18,10
158,103_19,13
159,103_2,11
160,103_20,9
161,103_21,14
162,103_22,16
163,103_23,18
164,103_25,20
165,103_26,14
166,103_27,16
167,103_28,18
168,103_29,7
169,103_3,12
170,103_30,13
171,103_31,4
172,103_32,24
173,103_33,17
174,103_34,16
175,103_35,11
176,103_36,6
177,103_37,14
178,103_38,9
179,103_39,16
180,103_4,10
181,103_40,13
182,103_41,17
183,103_42,3
184,103_43,8
185,103_44,22
186,103_45,9
187,103_46,13
188,103_47,13
189,103_48,19
190,103_49,15
191,103_5,14
192,103_50,13
193,103_6,13
194,103_7,10
195,103_8,12
196,103_9,15
197,104_1,9
198,104_10,28
199,104_11,11
200,104_12,12
201,104_13,18
202,104_14,17
203,104_15,9
204,104_16,9
205,104_17,16
206,104_18,14
207,104_19,20
208,104_2,9
209,104_20,15
210,104_21,13
211,104_22,7
212,104_23,16
213,104_24,12
214,104_25,15
215,104_26,17
216,104_27,13
217,104_28,18
218,104_29,14
219,104_3,19
220,104_30,11
221,104_31,9
222,104_32,12
223,104_33,17
224,104_34,13
225,104_35,11
226,104_36,7
227,104_37,12
228,104_38,15
229,104_39,6
230,104_4,12
231,104_40,11
232,104_41,18
233,104_42,11
234,104_43,17
235,104_44,16
236,104_45,18
237,104_46,17
238,104_47,14
239,104_48,18
240,104_49,8
241,104_5,13
242,104_50,7
243,104_6,15
244,104_7,19
245,104_8,15
246,104_9,11
247,105_1,9
248,105_10,10
249,105_11,19
250,105_12,8
251,105_13,12
252,105_14,7
253,105_15,8
254,105_16,7
255,105_17,7
256,105_18,25
257,105_19,13
258,105_2,11
259,105_20,19
260,105_21,16
261,105_22,4
262,105_23,12
263,105_24,8
264,105_25,17
265,105_26,10
266,105_27,13
267,105_28,8
268,105_29,11
269,105_3,8
270,105_30,8
271,105_31,18
272,105_32,5
273,105_33,10
274,105_34,12
275,105_35,20
276,105_36,24
277,105_37,11
278,105_38,11
279,105_39,13
280,105_4,8
281,105_40,13
282,105_41,20
283,105_42,13
284,105_43,14
285,105_44,19
286,105_45,13
287,105_46,12
288,105_47,8
289,105_48,20
290,105_49,17
291,105_5,21
292,105_50,8
293,105_6,10
294,105_7,13
295,105_8,13
296,105_9,18
297,106_1,14
298,106_10,12
299,106_11,14
300,106_12,15
301,106_13,9
302,106_14,19
303,106_15,14
304,106_16,11
305,106_17,8
306,106_18,13
307,106_19,13
308,106_2,6
309,106_20,20
310,106_21,9
311,106_22,12
312,106_23,9
313,106_24,20
314,106_25,22
315,106_26,3
316,106_27,18
317,106_28,13
318,106_29,17
319,106_3,17
320,106_30,15
321,106_31,14
322,106_32,9
323,106_33,10
324,106_34,14
325,106_35,8
326,106_36,13
327,106_37,16
328,106_38,19
329,106_39,16
330,106_4,24
331,106_40,12
332,106_41,4
333,106_42,16
334,106_43,14
335,106_44,12
336,106_45,7
337,106_46,13
338,106_47,6
339,106_48,10
340,106_49,15
341,106_5,15
342,106_50,16
343,106_6,14
344,106_7,5
345,106_8,15
346,106_9,16
347,107_1,15
348,107_10,23
349,107_11,9
350,107_12,10
351,107_13,8
352,107_14,14
353,107_15,11
354,107_16,13
355,107_17,16
356,107_18,15
357,107_19,10
358,107_2,13
359,107_20,16
360,107_21,13
361,107_22,17
362,107_23,18
363,107_24,11
364,107_25,17
365,107_26,11
366,107_27,6
367,107_28,17
368,107_29,13
369,107_3,8
370,107_30,9
371,107_31,7
372,107_32,9
373,107_33,13
374,107_34,15
375,107_35,12
376,107_36,20
377,107_37,8
378,107_38,20
379,107_39,11
380,107_4,17
381,107_40,8
382,107_41,8
383,107_42,14
384,107_43,20
385,107_44,9
386,107_45,13
387,107_46,9
388,107_47,13
389,107_48,20
390,107_49,10
391,107_5,12
392,107_50,11
393,107_6,11
394,107_7,14
395,107_8,13
396,107_9,14
397,108_1,11
398,108_10,21
399,108_11,6
400,108_12,13
401,108_13,9
402,108_14,11
403,108_15,10
404,108_16,10
405,108_17,19
406,108_18,16
407,108_19,10
408,108_2,8
409,108_20,7
410,108_21,17
411,108_22,18
412,108_23,11
413,108_24,16
414,108_25,8
415,108_26,13
416,108_27,10
417,108_28,9
418,108_29,23
419,108_3,11
420,108_30,9
421,108_31,13
422,108_32,6
423,108_33,18
424,108_34,9
425,108_35,6
426,108_36,13
427,108_37,13
428,108_38,5
429,108_39,1
430,108_4,11
431,108_40,14
432,108_41,6
433,108_42,14
434,108_43,14
435,108_44,14
436,108_45,18
437,108_46,10
438,108_47,17
439,108_48,11
440,108_49,23
441,108_5,10
442,108_50,9
443,108_6,16
444,108_7,7
445,108_8,10
446,108_9,3
447,109_1,10
448,109_10,8
449,109_11,15
450,109_12,13
451,109_13,20
452,109_14,13
453,109_15,13
454,109_16,11
455,109_17,19
456,109_18,9
457,109_19,9
458,109_2,20
459,109_20,12
460,109_21,22
461,109_22,23
462,109_23,16
463,109_24,11
464,109_25,24
465,109_26,14
466,109_27,14
467,109_28,11
468,109_29,11
469,109_3,10
470,109_30,13
471,109_31,10
472,109_32,14
473,109_33,14
474,109_34,5
475,109_35,12
476,109_36,16
477,109_37,9
478,109_38,7
479,109_39,8
480,109_4,9
481,109_40,11
482,109_41,14
483,109_42,18
484,109_43,16
485,109_44,3
486,109_45,15
487,109_46,14
488,109_47,10
489,109_48,7
490,109_49,18
491,109_5,10
492,109_50,21
493,109_6,11
494,109_7,22
495,109_8,11
496,109_9,14
497,10_1,14
498,10_10,11
499,10_11,8
500,10_12,19
501,10_13,5
502,10_14,15
503,10_15,13
504,10_16,11
505,10_17,9
506,10_18,6
507,10_19,8
508,10_2,10
509,10_20,16
510,10_21,13
511,10_22,9
512,10_23,14
513,10_24,18
514,10_25,15
515,10_26,5
516,10_27,22
517,10_28,15
518,10_29,13
519,10_3,11
520,10_30,9
521,10_31,12
522,10_32,8
523,10_33,16
524,10_34,16
525,10_35,5
526,10_36,14
527,10_37,17
528,10_38,10
529,10_39,12
530,10_4,14
531,10_40,10
532,10_41,25
533,10_42,25
534,10_43,12
535,10_44,8
536,10_45,8
537,10_46,8
538,10_47,12
539,10_48,11
540,10_49,13
541,10_5,13
542,10_50,10
543,10_6,14
544,10_7,16
545,10_8,18
546,10_9,15
547,110_1,9
548,110_10,10
549,110_11,9
550,110_12,5
551,110_13,12
552,110_14,16
553,110_15,8
554,110_16,12
555,110_17,6
556,110_18,6
557,110_19,14
558,110_2,21
559,110_20,24
560,110_21,8
561,110_23,8
562,110_24,13
563,110_25,10
564,110_26,9
565,110_27,7
566,110_28,8
567,110_29,14
568,110_3,9
569,110_30,9
570,110_31,11
571,110_32,17
572,110_33,8
573,110_34,13
574,110_35,17
575,110_36,11
576,110_37,14
577,110_38,13
578,110_39,10
579,110_4,17
580,110_40,8
581,110_41,14
582,110_42,17
583,110_43,17
584,110_44,9
585,110_45,13
586,110_46,16
587,110_47,6
588,110_48,9
589,110_49,23
590,110_5,12
591,110_50,10
592,110_6,10
593,110_7,11
594,110_8,9
595,110_9,5
596,111_1,10
597,111_10,9
598,111_11,20
599,111_12,14
600,111_13,17
601,111_14,7
602,111_15,15
603,111_16,14
604,111_17,16
605,111_19,12
606,111_2,15
607,111_20,11
608,111_21,13
609,111_22,8
610,111_23,8
611,111_24,11
612,111_25,21
613,111_26,12
614,111_27,10
615,111_28,16
616,111_29,8
617,111_3,14
618,111_30,14
619,111_31,18
620,111_32,7
621,111_33,14
622,111_34,16
623,111_35,5
624,111_36,8
625,111_37,20
626,111_38,12
627,111_39,16
628,111_4,7
629,111_40,13
630,111_41,11
631,111_42,9
632,111_43,17
633,111_44,10
634,111_45,11
635,111_46,15
636,111_47,12
637,111_48,22
638,111_49,11
639,111_5,13
640,111_50,5
641,111_6,5
642,111_7,10
643,111_8,9
644,111_9,7
645,112_1,11
646,112_10,10
647,112_11,12
648,112_12,26
649,112_13,16
650,112_14,21
651,112_15,12
652,112_16,8
653,112_17,13
654,112_18,18
655,112_19,9
656,112_2,16
657,112_20,16
658,112_21,7
659,112_22,7
660,112_23,8
661,112_24,18
662,112_25,12
663,112_26,10
664,112_27,14
665,112_28,14
666,112_29,14
667,112_3,15
668,112_30,13
669,112_31,16
670,112_32,17
671,112_33,15
672,112_34,16
673,112_35,14
674,112_36,9
675,112_37,6
676,112_38,23
677,112_39,12
678,112_4,16
679,112_40,12
680,112_41,14
681,112_42,12
682,112_43,18
683,112_44,6
684,112_45,15
685,112_46,11
686,112_47,14
687,112_48,25
688,112_49,9
689,112_5,12
690,112_50,9
691,112_6,20
692,112_7,11
693,112_8,6
694,112_9,11
695,113_1,18
696,113_10,10
697,113_11,12
698,113_12,13
699,113_13,21
700,113_14,9
701,113_15,7
702,113_16,12
703,113_17,15
704,113_18,8
705,113_19,10
706,113_2,10
707,113_20,13
708,113_21,16
709,113_22,17
710,113_23,6
711,113_24,8
712,113_25,14
713,113_26,9
714,113_27,7
715,113_28,18
716,113_29,14
717,113_3,8
718,113_30,15
719,113_31,13
720,113_33,18
721,113_34,6
722,113_35,29
723,113_36,7
724,113_37,15
725,113_38,15
726,113_39,19
727,113_4,8
728,113_40,7
729,113_41,13
730,113_42,16
731,113_43,10
732,113_44,16
733,113_45,13
734,113_46,7
735,113_47,13
736,113_48,6
737,113_49,9
738,113_5,13
739,113_50,14
740,113_6,13
741,113_7,17
742,113_8,14
743,113_9,13
744,114_1,18
745,114_10,12
746,114_11,13
747,114_12,9
748,114_13,14
749,114_14,12
750,114_15,13
751,114_16,16
752,114_17,15
753,114_18,17
754,114_19,11
755,114_2,7
756,114_20,26
757,114_21,11
758,114_22,17
759,114_23,17
760,114_24,9
761,114_25,14
762,114_26,9
763,114_27,21
764,114_28,20
765,114_29,13
766,114_3,12
767,114_30,12
768,114_31,7
769,114_32,13
770,114_33,17
771,114_34,15
772,114_35,24
773,114_36,10
774,114_37,12
775,114_38,10
776,114_39,10
777,114_4,10
778,114_40,7
779,114_41,10
780,114_42,18
781,114_43,11
782,114_44,17
783,114_45,6
784,114_46,9
785,114_47,10
786,114_48,5
787,114_49,8
788,114_5,15
789,114_50,6
790,114_6,11
791,114_7,9
792,114_8,7
793,114_9,11
794,115_1,4
795,115_10,9
796,115_11,6
797,115_12,11
798,115_13,7
799,115_14,12
800,115_15,9
801,115_16,14
802,115_17,9
803,115_18,12
804,115_19,7
805,115_2,15
806,115_20,13
807,115_21,15
808,115_22,13
809,115_23,9
810,115_24,5
811,115_25,10
812,115_26,8
813,115_27,12
814,115_28,12
815,115_29,12
816,115_3,11
817,115_30,12
818,115_31,11
819,115_32,11
820,115_33,11
821,115_34,12
822,115_35,10
823,115_36,7
824,115_37,15
825,115_38,7
826,115_39,14
827,115_4,21
828,115_40,12
829,115_41,16
830,115_42,7
831,115_43,8
832,115_44,9
833,115_45,11
834,115_46,12
835,115_47,28
836,115_48,13
837,115_49,13
838,115_5,8
839,115_50,11
840,115_6,19
841,115_7,4
842,115_8,16
843,116_1,16
844,116_10,12
845,116_11,14
846,116_12,11
847,116_13,15
848,116_14,11
849,116_15,20
850,116_16,15
851,116_17,13
852,116_18,9
853,116_19,13
854,116_2,10
855,116_20,20
856,116_21,8
857,116_22,11
858,116_23,7
859,116_24,18
860,116_25,12
861,116_26,16
862,116_27,17
863,116_28,23
864,116_29,6
865,116_3,18
866,116_30,11
867,116_31,6
868,116_32,8
869,116_33,10
870,116_34,5
871,116_35,18
872,116_36,11
873,116_37,11
874,116_38,7
875,116_39,8
876,116_4,17
877,116_40,16
878,116_41,7
879,116_42,11
880,116_43,11
881,116_44,11
882,116_45,12
883,116_46,7
884,116_47,10
885,116_48,6
886,116_49,7
887,116_5,7
888,116_50,6
889,116_6,14
890,116_7,9
891,116_8,15
892,116_9,16
893,117_1,11
894,117_10,13
895,117_11,7
896,117_12,16
897,117_13,17
898,117_14,7
899,117_15,12
900,117_16,16
901,117_17,18
902,117_18,12
903,117_19,11
904,117_2,8
905,117_20,7
906,117_21,19
907,117_22,13
908,117_23,17
909,117_24,5
910,117_25,8
911,117_26,12
912,117_27,14
913,117_28,12
914,117_29,13
915,117_3,17
916,117_30,13
917,117_31,12
918,117_32,14
919,117_33,5
920,117_34,8
921,117_35,22
922,117_36,17
923,117_37,4
924,117_38,9
925,117_39,8
926,117_4,10
927,117_40,9
928,117_41,19
929,117_42,15
930,117_43,11
931,117_44,9
932,117_45,13
933,117_46,6
934,117_47,10
935,117_48,11
936,117_49,15
937,117_5,15
938,117_50,5
939,117_6,16
940,117_7,14
941,117_8,16
942,117_9,9
943,118_1,14
944,118_10,12
945,118_11,10
946,118_12,15
947,118_13,9
948,118_14,15
949,118_15,7
950,118_16,23
951,118_17,14
952,118_18,10
953,118_19,8
954,118_2,11
955,118_20,4
956,118_21,16
957,118_22,25
958,118_23,17
959,118_24,7
960,118_25,11
961,118_26,8
962,118_27,14
963,118_28,12
964,118_29,14
965,118_3,16
966,118_30,15
967,118_31,7
968,118_32,11
969,118_33,12
970,118_34,10
971,118_35,17
972,118_36,8
973,118_37,12
974,118_38,8
975,118_39,12
976,118_4,6
977,118_40,4
978,118_41,12
979,118_42,14
980,118_43,24
981,118_44,6
982,118_45,16
983,118_46,9
984,118_47,8
985,118_48,16
986,118_49,11
987,118_5,15
988,118_50,12
989,118_6,13
990,118_7,6
991,118_8,18
992,118_9,15
993,119_1,8
994,119_10,13
995,119_11,14
996,119_12,5
997,119_13,10
998,119_14,16
999,119_15,2
1000,119_16,16
1001,119_17,19
1002,119_18,15
1003,119_19,21
1004,119_2,18
1005,119_20,12
1006,119_21,10
1007,119_22,9
1008,119_23,22
1009,119_24,15
1010,119_25,16
1011,119_26,11
1012,119_27,14
1013,119_28,9
1014,119_29,7
1015,119_3,14
1016,119_30,10
1017,119_31,16
1018,119_32,13
1019,119_33,13
1020,119_34,15
1021,119_35,16
1022,119_36,18
1023,119_37,16
1024,119_38,11
1025,119_39,14
1026,119_4,9
1027,119_40,7
1028,119_41,9
1029,119_42,12
1030,119_43,13
1031,119_44,8
1032,119_45,13
1033,119_46,11
1034,119_47,8
1035,119_48,14
1036,119_49,7
1037,119_5,11
1038,119_50,9
1039,119_6,5
1040,119_7,14
1041,119_8,13
1042,119_9,13
1043,11_1,12
1044,11_10,6
1045,11_11,9
1046,11_12,15
1047,11_13,11
1048,11_14,13
1049,11_15,15
1050,11_16,17
1051,11_17,13
1052,11_18,10
1053,11_19,20
1054,11_2,25
1055,11_20,12
1056,11_21,8
1057,11_22,16
1058,11_23,15
1059,11_24,14
1060,11_25,6
1061,11_26,13
1062,11_27,17
1063,11_28,19
1064,11_29,10
1065,11_3,7
1066,11_30,6
1067,11_31,4
1068,11_32,14
1069,11_33,10
1070,11_34,16
1071,11_35,8
1072,11_36,13
1073,11_37,22
1074,11_38,5
1075,11_39,7
1076,11_4,15
1077,11_40,9
1078,11_41,4
1079,11_42,10
1080,11_43,15
1081,11_44,14
1082,11_45,17
1083,11_46,15
1084,11_47,18
1085,11_48,23
1086,11_49,9
1087,11_5,14
1088,11_50,9
1089,11_6,15
1090,11_7,14
1091,11_8,19
1092,11_9,9
1093,120_1,17
1094,120_10,12
1095,120_11,18
1096,120_12,11
1097,120_13,12
1098,120_14,15
1099,120_15,7
1100,120_16,6
1101,120_17,23
1102,120_18,8
1103,120_19,9
1104,120_2,12
1105,120_20,14
1106,120_21,5
1107,120_22,7
1108,120_23,10
1109,120_24,8
1110,120_25,13
1111,120_26,16
1112,120_27,12
1113,120_28,15
1114,120_29,13
1115,120_3,16
1116,120_30,18
1117,120_31,14
1118,120_32,10
1119,120_33,13
1120,120_34,12
1121,120_35,10
1122,120_36,9
1123,120_37,7
1124,120_38,19
1125,120_39,8
1126,120_4,9
1127,120_40,9
1128,120_41,28
1129,120_42,15
1130,120_43,7
1131,120_44,11
1132,120_45,12
1133,120_46,12
1134,120_47,9
1135,120_48,12
1136,120_49,5
1137,120_5,14
1138,120_50,11
1139,120_6,15
1140,120_7,14
1141,120_8,15
1142,120_9,11
1143,121_1,12
1144,121_10,10
1145,121_11,14
1146,121_12,13
1147,121_13,11
1148,121_14,22
1149,121_15,7
1150,121_16,12
1151,121_17,11
1152,121_18,10
1153,121_19,12
1154,121_2,16
1155,121_20,7
1156,121_21,13
1157,121_22,13
1158,121_23,10
1159,121_24,11
1160,121_25,13
1161,121_26,7
1162,121_27,14
1163,121_28,10
1164,121_29,8
1165,121_3,11
1166,121_30,15
1167,121_31,11
1168,121_32,7
1169,121_33,13
1170,121_34,11
1171,121_35,9
1172,121_36,22
1173,121_37,15
1174,121_38,20
1175,121_39,24
1176,121_4,7
1177,121_40,6
1178,121_41,17
1179,121_42,10
1180,121_43,21
1181,121_44,17
1182,121_45,20
1183,121_46,15
1184,121_47,16
1185,121_48,13
1186,121_49,17
1187,121_5,11
1188,121_50,8
1189,121_6,6
1190,121_7,7
1191,121_8,16
1192,121_9,12
1193,122_1,13
1194,122_10,17
1195,122_11,9
1196,122_12,15
1197,122_13,12
1198,122_14,18
1199,122_15,13
1200,122_16,21
1201,122_17,9
1202,122_18,4
1203,122_19,22
1204,122_2,11
1205,122_20,10
1206,122_21,16
1207,122_22,10
1208,122_23,14
1209,122_24,16
1210,122_25,9
1211,122_26,14
1212,122_27,14
1213,122_28,11
1214,122_29,10
1215,122_3,18
1216,122_30,20
1217,122_31,8
1218,122_32,17
1219,122_33,18
1220,122_34,10
1221,122_35,20
1222,122_37,13
1223,122_38,13
1224,122_39,15
1225,122_4,12
1226,122_40,10
1227,122_41,9
1228,122_42,19
1229,122_43,11
1230,122_44,10
1231,122_45,16
1232,122_46,8
1233,122_47,13
1234,122_48,24
1235,122_49,11
1236,122_5,4
1237,122_50,14
1238,122_6,8
1239,122_7,10
1240,122_8,18
1241,122_9,10
1242,123_1,17
1243,123_10,20
1244,123_11,18
1245,123_12,11
1246,123_13,13
1247,123_14,7
1248,123_15,17
1249,123_16,17
1250,123_17,13
1251,123_18,12
1252,123_19,11
1253,123_2,12
1254,123_20,16
1255,123_21,10
1256,123_22,13
1257,123_23,12
1258,123_24,7
1259,123_25,7
1260,123_26,12
1261,123_27,6
1262,123_28,12
1263,123_29,14
1264,123_3,13
1265,123_30,7
1266,123_31,15
1267,123_32,12
1268,123_33,7
1269,123_34,17
1270,123_35,12
1271,123_36,16
1272,123_37,18
1273,123_38,7
1274,123_39,6
1275,123_4,7
1276,123_40,17
1277,123_41,11
1278,123_42,7
1279,123_43,13
1280,123_44,8
1281,123_45,10
1282,123_46,12
1283,123_47,11
1284,123_48,7
1285,123_49,7
1286,123_5,8
1287,123_50,21
1288,123_6,9
1289,123_7,14
1290,123_8,10
1291,123_9,9
1292,124_1,10
1293,124_10,15
1294,124_11,10
1295,124_12,16
1296,124_13,13
1297,124_14,12
1298,124_15,8
1299,124_16,15
1300,124_17,18
1301,124_18,13
1302,124_19,17
1303,124_2,14
1304,124_20,11
1305,124_21,9
1306,124_22,10
1307,124_23,15
1308,124_24,4
1309,124_25,17
1310,124_26,8
1311,124_27,11
1312,124_28,10
1313,124_29,12
1314,124_3,10
1315,124_30,11
1316,124_31,8
1317,124_32,19
1318,124_33,21
1319,124_34,15
1320,124_35,15
1321,124_36,15
1322,124_37,11
1323,124_38,12
1324,124_39,7
1325,124_4,5
1326,124_40,6
1327,124_41,12
1328,124_42,13
1329,124_43,16
1330,124_44,15
1331,124_45,5
1332,124_46,12
1333,124_47,20
1334,124_48,21
1335,124_49,11
1336,124_5,18
1337,124_50,7
1338,124_6,5
1339,124_7,17
1340,124_8,7
1341,124_9,8
1342,125_1,13
1343,125_10,10
1344,125_11,15
1345,125_12,15
1346,125_13,8
1347,125_14,15
1348,125_15,18
1349,125_16,8
1350,125_17,10
1351,125_18,11
1352,125_19,13
1353,125_2,11
1354,125_20,17
1355,125_21,21
1356,125_22,14
1357,125_23,9
1358,125_24,9
1359,125_25,8
1360,125_26,5
1361,125_27,9
1362,125_28,17
1363,125_3,11
1364,125_30,9
1365,125_31,14
1366,125_32,10
1367,125_33,13
1368,125_34,15
1369,125_35,10
1370,125_36,14
1371,125_37,11
1372,125_38,11
1373,125_39,18
1374,125_4,8
1375,125_40,9
1376,125_41,11
1377,125_42,8
1378,125_43,19
1379,125_44,9
1380,125_45,8
1381,125_46,16
1382,125_47,3
1383,125_48,18
1384,125_49,10
1385,125_5,10
1386,125_50,15
1387,125_6,9
1388,125_7,9
1389,125_8,5
1390,125_9,9
1391,126_1,13
1392,126_10,13
1393,126_11,15
1394,126_12,18
1395,126_13,7
1396,126_14,11
1397,126_15,8
1398,126_16,19
1399,126_17,11
1400,126_18,7
1401,126_19,13
1402,126_2,10
1403,126_20,13
1404,126_21,11
1405,126_22,12
1406,126_23,22
1407,126_24,9
1408,126_25,12
1409,126_26,11
1410,126_27,9
1411,126_28,13
1412,126_29,10
1413,126_3,14
1414,126_30,8
1415,126_31,11
1416,126_32,11
1417,126_33,6
1418,126_34,9
1419,126_35,14
1420,126_36,7
1421,126_37,18
1422,126_38,10
1423,126_39,19
1424,126_4,6
1425,126_40,8
1426,126_41,18
1427,126_42,17
1428,126_43,11
1429,126_44,18
1430,126_45,8
1431,126_46,8
1432,126_47,8
1433,126_48,8
1434,126_49,6
1435,126_5,7
1436,126_50,16
1437,126_6,15
1438,126_7,11
1439,126_8,16
1440,126_9,8
1441,127_10,9
1442,127_11,5
1443,127_12,16
1444,127_13,13
1445,127_14,16
1446,127_15,12
1447,127_16,22
1448,127_17,10
1449,127_18,11
1450,127_19,11
1451,127_2,15
1452,127_20,12
1453,127_21,26
1454,127_22,19
1455,127_23,13
1456,127_24,11
1457,127_25,12
1458,127_26,7
1459,127_27,9
1460,127_28,11
1461,127_29,20
1462,127_3,20
1463,127_30,13
1464,127_31,19
1465,127_32,13
1466,127_33,12
1467,127_34,9
1468,127_35,14
1469,127_36,10
1470,127_37,12
1471,127_38,10
1472,127_39,11
1473,127_4,16
1474,127_40,12
1475,127_41,14
1476,127_42,16
1477,127_43,13
1478,127_44,15
1479,127_45,7
1480,127_46,6
1481,127_47,7
1482,127_48,17
1483,127_49,15
1484,127_5,9
1485,127_50,5
1486,127_6,12
1487,127_7,21
1488,127_8,15
1489,127_9,13
1490,128_1,8
1491,128_10,11
1492,128_11,15
1493,128_12,19
1494,128_13,6
1495,128_14,18
1496,128_15,9
1497,128_16,10
1498,128_17,14
1499,128_18,14
1500,128_19,15
1501,128_2,14
1502,128_20,9
1503,128_21,26
1504,128_22,14
1505,128_23,14
1506,128_24,12
1507,128_25,20
1508,128_26,8
1509,128_27,22
1510,128_28,9
1511,128_29,8
1512,128_3,11
1513,128_30,7
1514,128_31,17
1515,128_32,10
1516,128_33,12
1517,128_34,16
1518,128_35,14
1519,128_36,9
1520,128_37,3
1521,128_38,11
1522,128_39,11
1523,128_4,13
1524,128_40,18
1525,128_41,6
1526,128_42,18
1527,128_43,5
1528,128_44,9
1529,128_45,13
1530,128_46,20
1531,128_47,11
1532,128_48,16
1533,128_49,17
1534,128_5,9
1535,128_50,11
1536,128_6,8
1537,128_7,15
1538,128_8,7
1539,128_9,17
1540,129_1,10
1541,129_10,13
1542,129_11,18
1543,129_12,16
1544,129_13,19
1545,129_14,20
1546,129_15,11
1547,129_16,14
1548,129_17,16
1549,129_18,19
1550,129_19,14
1551,129_2,16
1552,129_20,15
1553,129_21,9
1554,129_22,8
1555,129_23,11
1556,129_24,14
1557,129_25,11
1558,129_26,18
1559,129_27,14
1560,129_28,9
1561,129_29,7
1562,129_3,6
1563,129_30,15
1564,129_31,7
1565,129_32,15
1566,129_33,18
1567,129_34,20
1568,129_35,16
1569,129_36,9
1570,129_37,13
1571,129_38,9
1572,129_39,10
1573,129_4,17
1574,129_40,8
1575,129_41,3
1576,129_42,7
1577,129_43,21
1578,129_44,19
1579,129_45,15
1580,129_46,5
1581,129_47,14
1582,129_48,11
1583,129_49,8
1584,129_5,16
1585,129_50,5
1586,129_6,7
1587,129_7,17
1588,129_8,11
1589,129_9,11
1590,12_1,17
1591,12_10,11
1592,12_11,6
1593,12_12,3
1594,12_13,13
1595,12_14,17
1596,12_15,13
1597,12_16,22
1598,12_17,11
1599,12_18,6
1600,12_19,21
1601,12_2,14
1602,12_20,9
1603,12_21,17
1604,12_22,14
1605,12_23,13
1606,12_24,18
1607,12_25,7
1608,12_26,11
1609,12_27,8
1610,12_28,14
1611,12_29,17
1612,12_3,12
1613,12_30,14
1614,12_31,11
1615,12_32,15
1616,12_33,15
1617,12_34,8
1618,12_35,10
1619,12_36,17
1620,12_37,14
1621,12_38,19
1622,12_39,13
1623,12_4,8
1624,12_40,12
1625,12_41,15
1626,12_42,6
1627,12_43,9
1628,12_44,9
1629,12_45,11
1630,12_46,11
1631,12_47,8
1632,12_48,3
1633,12_49,17
1634,12_5,3
1635,12_50,19
1636,12_6,16
1637,12_7,12
1638,12_8,15
1639,12_9,16
1640,130_1,10
1641,130_10,15
1642,130_11,10
1643,130_12,18
1644,130_13,5
1645,130_14,14
1646,130_15,12
1647,130_16,11
1648,130_17,12
1649,130_18,9
1650,130_19,16
1651,130_2,15
1652,130_20,19
1653,130_21,13
1654,130_22,16
1655,130_23,9
1656,130_24,18
1657,130_25,16
1658,130_26,17
1659,130_27,18
1660,130_28,14
1661,130_29,6
1662,130_3,5
1663,130_30,18
